rank,player,time
1,"SR
BarbosTM",44.934
2,"EXLTY
linkTM_",45.15
3,"SHIFT
RatchetEU",45.151
4,"BDS
YannexTM",45.17
5,"ORKS
Ericb_Shark",45.173
6,"ITB
mime.cut",45.198
7,"SHIFT
Az0xTM",45.206
8,twelfth-tm,45.306
9,"CRASH
Teffztm",45.313
10,"SPLIT
Brinkenn",45.33
11,"GRVTY
marsli",45.331
12,Mury99,45.372
13,"4WOO
keby..",45.375
14,NiteR.,45.376
15,"34%
Ikarus.",45.378
16,MiGuzuEnUnPuzu_,45.415
17,RandomWalk.,45.421
18,"DNF
Thomas_Jean",45.438
19,MattOuuZ,45.443
20,"W.
ender.cut",45.491
21,"CRASH
Andybaguette",45.491
22,"D/\A
TwitchTxcks",45.498
23,"W.
Bestie77",45.5
24,S7_Holo099,45.526
25,"DNF
Zenyy",45.53
26,"OKBOI
sh0rty.de",45.541
27,"DNF
Nathan_....",45.544
28,"ௌௌௌௌௌ
Hand__",45.555
29,"MLTV
Molle_.",45.556
30,"WP
Intax",45.558
31,"SMOK
Sheinex",45.563
32,"הҒ
hauvtm",45.564
33,"ווו
WarL_TM",45.566
34,Wildcard_TM,45.566
35,"TSUN
KakkouTM",45.584
36,"TMF
Ikewolf",45.592
37,"SHIFT
Fegir",45.598
38,"GLRS
TM.Heav",45.614
39,"ITB
Larstm",45.615
40,Cheeselover2298,45.616
41,"W.
Acrose17",45.626
42,"LIL
Walegen",45.648
43,"PDF
Fant0m1996",45.661
44,"ICY❄G
Micka_TM.",45.675
45,"BR
Kyost",45.676
46,"ICE=
NauuTM",45.686
47,"♣
HotSWAT",45.687
48,InfernoTM.,45.688
49,"🏁 ///
RealRoyboi",45.691
50,"GRVTY
UsoTM",45.693
51,"WAҒ »
Nath_TM",45.705
52,"ECL
BulleMite",45.708
53,"ACE
Obitom.",45.716
54,"♪GRS
Flygon.db",45.717
55,"VAMOS
Jakkoy",45.735
56,"AYAYA
Chrisbirdie",45.747
57,"BCR
NablaTM",45.758
58,"
Na1ve..",45.764
59,DemirTM,45.774
60,Daxtorim,45.776
61,fishoo1,45.778
62,"DNF
Eria.TM",45.781
63,"300 
Marijntje04",45.781
64,Intimacy.,45.788
65,"GF
Jorday.",45.795
66,"HLCYN
Trunoob.TX",45.798
67,OTF.bead,45.804
68,Weebowooo,45.804
69,"Æ.™
Jaakaah",45.805
70,"GRVTY
Betatoast2",45.806
71,"JUTFS
nytroza",45.807
72,manamiz,45.808
73,BRand0M_TM,45.815
74,"ℼ
Psyniac",45.818
75,"»/\«
SneakyyTM",45.818
76,Yslachy,45.824
77,WiggityWackYo,45.825
78,"MEGA
magga009",45.828
79,"☆
AR_Down",45.834
80,hwyls,45.837
81,"ITA
Franaah",45.845
82,"RUSH
Ze-Rax",45.847
83,"FMBOY
spmx.",45.848
84,"キЯM
FunnyRaceMan",45.856
85,Elensar_,45.858
86,"SHIFT
Vixxa.wp",45.86
87,"ELINE
Speedself",45.863
88,MILMY,45.871
89,nortx,45.871
90,"ै
MimoJr.",45.872
91,"WP
Karlukki",45.873
92,"KFC
ROtrex..",45.884
93,"GRVTY
Linkcrafter",45.884
94,Kempy-S4,45.888
95,"ARF
THIERRYGUITARE",45.898
96,"B2
P3kingente",45.903
97,blisscs,45.905
98,BrizaBRO,45.908
99,"W.
Paardenvechter",45.911
100,"ATL
REZAAisback",45.912
101,berendd,45.915
102,"MJK
Walten_TM",45.922
103,"KUJ
Kuuuj",45.926
104,".UWU
PuWWa",45.928
105,JaffaPadawan,45.935
106,Nightlight-.-,45.948
107,"QCTM
ThomBern",45.95
108,"ⓐⓓⓗⓓッ
Analytics.",45.95
109,"MFG
Kadabu.",45.951
110,"PIWO!
RDN.Razor",45.951
111,"QCTM
Mathyper59",45.954
112,"W.
bozbez",45.961
113,"PIWO!
Nalax_tm",45.968
114,mud.TM,45.968
115,"||||:
jkolt52",45.975
116,Dysc.09,45.977
117,"BIG
JanVan8ern",45.978
