rank,player,time
1,"ITB
mime.cut",44.188
2,MiGuzuEnUnPuzu_,44.235
3,"EXLTY
linkTM_",44.262
4,"ORKS
JussyDr",44.338
5,"SPLIT
Knyntsje",44.358
6,"W.
bozbez",44.365
7,"SR
BarbosTM",44.367
8,"BDS
YannexTM",44.372
9,"װℯⅴℴ
L1ngo...",44.372
10,"FAASZ
pusztitopako",44.388
11,"BIG
GranaDy.",44.415
12,"SHIFT
Imot17",44.415
13,"SHIFT
RatchetEU",44.442
14,Mury99,44.445
15,"A
Spammiej",44.468
16,"GLRS
TM.Heav",44.485
17,"OSV
Maxtrak",44.512
18,"ITB
Larstm",44.525
19,"װℯⅴℴ
Broly._",44.538
20,"☆
AR_Down",44.552
21,"NLT
Rh3torique",44.582
22,"ЯB
Tunixx",44.585
23,twelfth-tm,44.595
24,F_0le,44.602
25,"BRUH
JozoTm",44.605
26,InfernoTM.,44.605
27,"WP
Intax",44.608
28,"OKBOI
sh0rty.de",44.612
29,"CRASH
cinxsss",44.615
30,"4W: :
Karhu-91",44.618
31,"Æ.™
Jaakaah",44.619
32,"PDF
Fant0m1996",44.625
33,"SHIFT
voltize",44.628
34,"B2
Shoffy",44.632
35,"☆
Purple_TM",44.635
36,"CRASH
Dumle.",44.635
37,"W.
Acrose17",44.642
38,"D/\A
TwitchTxcks",44.645
39,"DNF
NikoTm",44.665
40,"🏁 ///
RealRoyboi",44.668
41,mombatm,44.668
42,"W.
ender.cut",44.682
43,"W.
veki.",44.688
44,"300 
Marijntje04",44.712
45,"VOID๑
Kama_TM",44.715
46,"W.
Bestie77",44.715
47,"SPLIT
axperial",44.725
48,"4WOO
keby..",44.728
49,"B2
P3kingente",44.728
50,"QCTM
ThomBern",44.728
51,"GRVTY
TsunamiZ",44.738
52,".UWU
PuWWa",44.754
53,"OKBOI
LuckersTurbo",44.758
54,JurixTM,44.758
55,"ЯB
Ice-TM",44.758
56,"WP
cLM_",44.764
57,"SPLIT
scroll-tm",44.765
58,"DNF
Eria.TM",44.775
59,"ⓞⓒⓓッ
Cfil777",44.775
60,"SPLIT
OC1895",44.778
61,"װℯⅴℴ
keyTM",44.785
62,"♣
walshyIE",44.795
63,"ICE=
NauuTM",44.798
64,"CRASH
Muckduck92",44.798
65,"װℯⅴℴ
NitroFeint",44.808
66,"21
Ge0fff",44.808
67,"ЯB
YnosTM",44.808
68,Cheeselover2298,44.812
69,"JAR
JarCrab",44.818
70,"OKBOI
F9.Marius89",44.822
71,"PIWO!
Demotivator13",44.822
72,"װℯⅴℴ
Nico_TM",44.825
73,"CRASH
Andybaguette",44.825
74,"ECL
DydyTM_",44.832
75,"NLT
Novu.",44.832
76,"DNF
Nathan_....",44.832
77,"TMF
Ikewolf",44.842
78,"SHIFT
Fegir",44.855
79,"AUT
Bohemius_TM",44.862
80,JeeeJeee,44.865
81,"PIWO!
hevy..",44.868
82,"FMBOY
spmx.",44.882
83,"
ViiperTM",44.882
84,Nightlight-.-,44.885
85,leFabulousWilli,44.888
86,"ORKS
ComplexStatics_",44.895
87,"װℯⅴℴ
Op4le.",44.898
88,"NLT
Plombz",44.898
89,"°꒳°
Darji_",44.908
90,noiszia,44.918
