rank,player,time
1,"װℯⅴℴ
Broly._",44.068
2,"GLRS
TM.Heav",44.125
3,RydellTM,44.158
4,"VOID๑
Zypher.tm",44.165
5,"4WOO
keby..",44.308
6,"ECL
DydyTM_",44.335
7,"װℯⅴℴ
Evo.Kyrill",44.432
8,"BITM
SharPie.11",44.468
9,"DBRUG
IdoTamar",44.478
10,RickyChompers,44.552
11,"FAASZ
Birdie.TM",44.578
12,"EDEN
Seys.TM",44.605
13,ardentskeptic,44.672
14,"SPLIT
TIMMYS.-.",44.675
15,Stolar3,44.712
16,NoisyHound,44.732
17,hostil-TM,44.735
18,"VAMOS
TarporTM",44.738
19,"GF
Idoless.",44.745
20,"PIWO!
Whiten_TM",44.748
21,"TMB
Sancho_TM",44.782
22,"EKMEK
Marty093",44.785
23,xFalcao99,44.795
24,"
OfMachinations",44.822
25,"|||||
Petrus.TM",44.825
26,Caesaar..,44.838
27,Loddigesia,44.845
28,"PA
Tilt.TM",44.872
29,"LIDL
M0rphy-",44.875
30,Floutata,44.878
31,"BEN
NorsuTM",44.882
32,"KKS
Spaacce",44.888
33,"SPLIT
Denniss..",44.895
34,ATriangl,44.908
35,Neoterzial,44.932
36,"»S7
Boldu971",44.935
37,bim89,44.942
38,GnomePiano,44.986
39,"DXA
CRAZYBUSDRIVER9",44.992
40,"▼NDA
Bu7zzy",44.998
41,"GT.
yossarian.22",45.018
42,RappeSch,45.095
43,PilorGR7,45.098
44,"VIBE
benhxwell65",45.118
45,Overdrive_TM,45.152
46,"
NOKER1",45.155
47,M_N_L,45.168
48,"BCTM
HamDaddy",45.208
49,"SR
aYz_TM",45.235
50,"BCS
Evik_TTV",45.238
51,"BLCH
BURIKOSS",45.268
52,Nanodu83,45.275
53,PatPaVinci,45.298
54,"\O/
Xyno_TM",45.345
55,Abyssmu,45.358
56,"CAR
Popocatepetl_",45.358
57,"AUT
Steirerdude",45.375
58,"NEC.
frenchpigeon",45.415
59,Hito_23,45.418
60,"!
GEFAFWISP.",45.438
61,Chloe2006TM,45.445
62,"69
sashqabrhr",45.482
63,"ALAMO
ItzzDyln",45.485
64,ajem_,45.518
65,"BITM
Coops39",45.527
66,"SLEEP
B4T5M4N",45.528
67,R3D4XE,45.532
68,Saf_Rebirth,45.568
69,Nightfox2201,45.605
70,NightPanda26705,45.622
71,"FEMB
fankordeavvagen",45.622
72,"ALTRD
RekziiTM",45.678
73,"EQNX
Gacor_Kang",45.695
74,KaitouK,45.718
75,BayoLev,45.732
76,demilliac,45.738
77,"NL
jojo227722",45.792
78,"MNM
aThief.",45.829
79,"TMNZ
SaboSlattYsl",45.855
80,Temp-14,45.858
81,marshalbains,45.902
82,DiscoViking-,45.932
83,"WALES
M4chire",45.972
84,"ЯЕХ'
CardioTM",45.979
85,ngl_ur_bad,45.992
86,adamStorm1,45.994
87,Nykho_,45.995
88,"VIBE
Muggemepper",46.044
89,thevires,46.099
90,"KC
Nouchma33",46.132
91,Snensen123,46.132
92,Turquoise_Man_,46.195
93,"RISK
Apollo_Origin",46.202
94,vinnievinni,46.215
95,Berry_______,46.228
96,"THC
ChIlLdUd3WtF",46.242
97,"ROTOR
Stars_ID",46.258
98,nielsfortyseven,46.288
99,shayos189,46.3
100,heltignunes,46.305
101,GanioTM,46.317
102,sk8erzalan,46.329
103,"TUNED
Kypera",46.355
104,granitycb,46.375
105,Eluvium1,46.383
106,Diclonius2,46.406
107,LikeAJohny,46.408
108,"VIBE
Lyebo",46.425
109,viddafcp,46.437
110,McMurkington,46.438
111,CoLD.o,46.438
112,LanTMO,46.468
113,JamesWhites,46.518
114,MrHotSauce101,46.525
115,GmGeGc,46.538
116,"DOOM
RetzyTM",46.552
117,"ΛΚ
Davcro",46.575
118,P.E.X,46.602
119,jordontm,46.624
120,"BCS
BC_The7Assassin",46.685
121,Nycus1702,46.689
122,"NL
lucasjande",46.704
123,"BEBOU
glubux",46.794
124,"DOOM
JunesGo",46.802
125,MickeBond,46.842
126,"TUNED
Kollida",46.848
127,bowfar,46.878
128,Weifly,46.904
129,SaviourCheesus,46.912
130,Jaccorduwener,46.912
131,"LIZRD
Koty4ra",46.959
132,GaiFurry,46.978
133,EthanDavis_,47.025
134,araxav,47.054
135,Blind2D,47.055
136,lalounet,47.078
137,skd600,47.105
138,Mlodyx16,47.115
139,"SKF
Alzheimer59",47.122
140,"SR
ZeptrumTM",47.164
141,TheCrab13460,47.195
142,depehu,47.198
143,Zalus_nieve,47.224
144,king_dova,47.229
145,Pluffs_,47.239
146,pepdead,47.312
147,cPolska13,47.326
148,Henkeinen,47.338
149,Duct-Hamster,47.348
150,Flex--swifter,47.442
151,"SR
StenshiV2",47.489
152,SIN.TERTS,47.504
153,brunte11,47.532
154,SgtTH,47.585
155,Zacharychief,47.668
156,"AYAYA
laczkolevente99",47.686
157,"SASHO
SashoStoichkov",47.718
158,"RISK
Zen3.14",47.735
159,NEMO_0510,47.759
160,Titoliive,47.848
161,"DEEZ
genbooden",47.938
162,CrumbMcBuckets,47.944
163,invisiblecat08,48.018
164,Elias_323,48.019
165,TimperNL,48.028
166,WaterSwordsman,48.064
167,xPROSkyPower,48.071
168,guest-02jkddfm,48.106
169,"TMSWE
lilja111",48.138
170,HYPESOLIDJET,48.142
171,"AYAYA
KentzerTM",48.227
172,shortcat359,48.309
173,jzszwa7,48.314
174,hardcore8sfc,48.315
175,AlphaRev0,48.322
176,LemmyRay,48.322
177,risq111,48.348
178,Aries__90,48.394
179,wilderplain,48.425
180,Batah91,48.495
181,"<(°)
Lukagi64",48.519
182,fiifouu2012,48.605
183,jiksuu,48.608
184,BluePhoenixRL,48.614
185,Fiscis_DaGimp,48.655
186,Morpheus19010,48.709
187,Mustaysi,48.715
188,"SOTIS
Anypsotis",48.722
189,Fenastr,48.736
190,ThoBer82,48.782
191,Dageroun,48.817
192,Chocolatmilkgod,48.845
193,"COD?
FFrieza-_-",48.878
194,"SLSL
McWhib",48.884
195,Dhalucaten,48.885
196,PrototypeWhite,48.969
197,VraKo08,49.003
198,"
jcjee",49.022
199,brokenDrumDrum,49.036
200,st2001sch,49.053
201,Ra1stlin,49.065
202,mineteam17,49.078
203,mrvn1848,49.085
204,"AM
Alkatzzz",49.126
205,"VIBE
MetallHD",49.149
206,fullgrater.,49.169
207,oceannic,49.174
208,User7Gaming,49.244
209,t4567897865,49.269
210,"JBJ
JWhib",49.273
211,Valtrast23,49.294
212,AeoronSen,49.305
213,Saunaaufguss,49.305
214,Pixel2604,49.369
215,"VIBE
ItsJaCaL",49.555
216,"NOOB
mastergsorin",49.595
217,"VIBE
westwoodvose",49.655
218,bexted.,49.662
219,maxx4one,49.664
220,Redtronic.,49.692
221,"ECL
davideh_tm",49.698
222,centuple.,49.758
223,greasyduck651,49.795
224,Spaceykuip,49.795
225,"DOOM
Zorloc111",49.796
226,Nikklgg,49.848
227,AndrewBelko,49.948
228,prtl113,49.955
229,"SMILE
CMW257",49.96
230,Kaelen01,50.083
231,J000000000000,50.149
232,"VIBE
ThePickledWaffl",50.178
233,"666
Glasskamp",50.224
234,OmegaShenron360,50.288
235,"VIBE
darking2771",50.348
236,Stewballs34,50.419
237,NanoTSTJ,50.458
238,Lil_Beton,50.518
239,timo2pac,50.571
240,"WIN
Dr_Yannou",50.588
241,Chokeur_Pro,50.608
242,Terror17990,50.619
243,theturtlebyte,50.637
244,Neo--politan,50.639
245,Reggaebus,50.679
246,superHydro,50.681
247,Zoro.Boom,50.699
248,Ivancicus,50.793
249,hugo-pepe,50.842
250,"VIBE
ethanhorror",50.917
251,Solleeiill,50.998
252,guest-0A5c0KJb,51.004
253,ybbest,51.046
254,"JD
virtoz",51.055
255,St0neWhite,51.084
256,julez1515,51.112
257,JetstreamCJR,51.117
258,DukasLecker,51.148
259,"VIBE
MinJaeko",51.349
260,Omry2222,51.367
261,cjguinta123,51.455
262,Axeslayer123,51.514
263,Graubidou,51.537
264,RuslanRud,51.568
265,Optimuz95,51.572
266,maxiepad23,51.592
267,logi9991,51.613
268,Ivan90baku,51.665
269,Shadow__3,51.702
270,Yalingo,51.719
271,Dogman_UFO,51.754
272,geoffoc123,51.805
273,frisby007,51.813
274,jasperkat95,51.852
275,AscarrBii,51.984
276,FlammaPhoenix,51.985
277,kizutsukeruu,52.017
278,"AYAYA
canawab",52.049
279,CaptainMan035,52.157
280,Eggo5461,52.172
281,Hansdart,52.278
282,k1xerino,52.344
283,"VIBE
Akas",52.353
284,ArnasFox,52.38
285,charliekai02,52.53
286,pilgrim198906,52.608
287,"RIO
Ceepature",52.712
288,gamenoodle,52.725
289,Fluffalot123,52.752
290,T3c9TM,52.837
291,szuba_75,52.873
292,worldender33,52.912
293,proctor2020,52.931
294,Harfaeddur,52.976
295,RisingFog,53.035
296,Xill84,53.249
297,Faris_V5,53.417
298,Zorco44,53.453
299,raheeliumTM,53.491
300,chubbyurma,53.502
301,Nytrok,53.565
302,GK420yt,53.671
303,"HIAF
EatDaGrunk",53.735
304,FlipFlippinIt,53.736
305,Funkenty_,53.789
306,DaddyDolans,53.837
307,Eslinka,53.954
308,Jacohunter,54.064
309,Kiitif,54.208
310,cornpopsx,54.316
311,"FOX
FoXsTeR-",54.502
312,SpeceD1culte,54.959
313,TJBE4,54.976
314,Kevprox,55.432
315,Tartuffenpion,55.454
316,GodKingDar,55.464
317,SLaYer75_,55.468
318,"BACON
TTV_Da_PigZ",55.509
319,ThebxoGamer_obe,55.604
320,Thefisherbird1,55.627
321,Boydimus,55.729
322,Coopeduptiger83,55.783
323,Kuporino,55.804
324,Gunshoticky,55.904
325,sauhsoj52,55.914
326,BlueHavenQc,56.004
327,ShadowGirl4718,56.323
328,bodzio_peres,56.363
329,Bluefife,56.528
330,"BUS
ForeverMHW",56.608
331,TTVLapin_jovial,56.616
332,captroel,56.619
333,Zharf,57.186
334,"T4T
Dianuo",57.207
335,morgalpa,57.518
336,xHambro,57.634
337,"T4T
DickieRicciardo",57.879
338,MonacaKinnie,57.909
339,RS-UltraNick,58.34
340,PrashantShekhar,59.02
341,tomper6,59.382
342,robinbobbinbob,59.469
343,Toasth747,59.568
344,Sippy5073,59.584
345,"INS
ins_chumazeg",59.797
346,uawhite3429,59.944
347,"INS
Ins_RobMaMaRe",59.998
348,DJPao86,60.054
349,TheSurlyCook,60.057
350,Braddles_95,60.209
351,viinsanity,60.894
352,caitlin56789,61.489
353,yashtm,61.545
354,BoxyXYZ,61.581
355,"VIBE
Lacnic1234",61.648
356,Fact-35,63.823
357,Nugerysi,64.246
358,Plasmaone75,65.719
359,BamboBert,67.688
360,aaabolis,68.872
361,"4DALE
Red_Eyed__Jedi",69.319
362,STTadas,69.939
363,"SCSK
LeSamson",70.691
364,PersonalTotem,70.817
365,MeagLiIllIILIIl,72.122
366,Jengloe,74.319
367,VigoandGozer,121.11
368,CupOfTheNight,302.514
